TIT,TORL3,T2T,Nstr,Pr,TB3R,T2TR
1099.73,619.6,411.48,5.68779019,16.5720254,0.650275334,0.498681604
1099.77,618.6,414.38,5.6872201,16.2117064,0.649528013,0.500779361
1099.93,617.8,421.66,5.686499062,15.47332924,0.648869694,0.506022956
1100.11,616.9,430.34,5.685736803,14.65594817,0.648129269,0.512277355
1100.18,616,440.63,5.68520242,13.75307353,0.647440892,0.51974398
1100.41,615.4,453.52,5.684239719,12.74281601,0.646895658,0.529041323
1101.15,614.2,462.72,5.681930916,12.03224793,0.645674161,0.535450775
1102.33,613.1,470.83,5.67842408,11.42907486,0.644320528,0.540887545
1199.54,684.5,459.78,5.48912798,16.8206995,0.65027263,0.497681114
1199.56,685.5,457.05,5.489560611,17.17600367,0.65094282,0.49582063
1199.76,683.7,466.91,5.488342214,16.08891827,0.64963236,0.502447536
1199.83,682.8,475.67,5.487836077,15.27238816,0.648990482,0.508370786
1200.04,682.1,486.32,5.487069303,14.36240817,0.64842281,0.515527529
1200.23,681.6,499.37,5.486433851,13.34415376,0.647999837,0.524318234
1200.99,680.4,507.35,5.484268738,12.71587502,0.646851724,0.529461245
1202.11,679.2,517.74,5.481155294,11.96389695,0.645547226,0.536102111
1203.23,679.8,541.62,5.47851382,10.52925368,0.645463905,0.551870115
1299.41,751.3,506.55,5.309695592,17.37755895,0.651453681,0.49581574
1299.48,752.3,504.2,5.309849894,17.71826085,0.652060561,0.494299358
1299.56,750.5,513.28,5.308988355,16.6600287,0.650882871,0.500047688
1299.72,749.7,522.07,5.308445978,15.84711014,0.650308036,0.505585331
1299.93,749,532.84,5.307728605,14.9329996,0.649776235,0.512364279
1300.08,748.4,546.05,5.307203352,13.90666582,0.649332901,0.520712165
1300.81,747.2,555.49,5.305246945,13.18367207,0.648269333,0.526468271
1302.01,746.1,565.94,5.302410166,12.43966393,0.647077122,0.53270144
1303.1,746.6,590.91,5.300033196,10.95292413,0.646946868,0.548174465
1399.22,820.3,553.94,5.145556773,18.19685698,0.653832585,0.49456161
1399.31,819.5,555.72,5.145066763,17.88527464,0.653319063,0.495599297
1399.41,818.7,561.51,5.144561476,17.20106884,0.652801693,0.499031425
1399.54,817.9,569.85,5.144098007,16.39915591,0.652272687,0.503978621
1399.71,817.2,580.69,5.143573127,15.48730452,0.651787956,0.510407326
1399.97,816.7,594.13,5.142822222,14.4526284,0.651387826,0.518360907
1400.69,815.5,606.7,5.141013906,13.52519988,0.650390718,0.525647613
1401.76,814.4,615.65,5.138582224,12.88876617,0.649318471,0.530655378
1402.92,814.9,641.47,5.136277922,11.36584578,0.649167398,0.545693199
1498.76,889.7,607.5,4.994417878,18.59745973,0.656269224,0.497006056
1499.11,889.1,608.02,4.993669234,18.32280876,0.655801068,0.497201314
1499.16,888.3,612.16,4.993258259,17.69715794,0.655331178,0.499523221
1499.34,887.6,619.53,4.992664267,16.92704875,0.654869703,0.503630486
1499.61,887.1,630.12,4.992028779,16.02340855,0.654487917,0.509527516
1499.74,886.4,643.63,4.991505464,14.98505567,0.65404509,0.517110481
1500.52,885.3,660.79,4.989727579,13.76572119,0.65313728,0.526557928
1501.63,884.2,667.5,4.987402301,13.28849431,0.652108994,0.530009353
1502.71,884.5,693.48,4.98537608,11.7689135,0.651881342,0.544316556
1548.81,924.2,635.61,4.922739272,18.50639953,0.657176886,0.498781532
1548.96,923.5,638.4,4.92228511,17.91549283,0.656738616,0.500271663
1549.14,922.8,645.02,4.9217067,17.17208978,0.656289614,0.50385504
1549.25,922.2,655.12,4.921306738,16.27917708,0.655920764,0.509366769
1549.5,921.6,668.74,4.920634069,15.24053401,0.655501605,0.516769539
1550.27,920.5,687.3,4.91892506,13.93475562,0.654621535,0.526729991
1550.51,925.5,636.64,4.920528087,18.57093704,0.657277124,0.49888137
1551.31,919.4,693.76,4.916769739,13.47731129,0.653645462,0.529970512
1552.36,919.6,719.82,4.914853754,11.95978245,0.653379056,0.543941145
1648.98,995.1,693.67,4.788022986,18.29455232,0.659814893,0.502994074
1649.12,994.5,697.96,4.787523076,17.61996059,0.659454707,0.505189177
1649.29,993.9,706.83,4.786985925,16.76603898,0.659084289,0.509758432
1649.56,993.4,720.14,4.786405762,15.73600292,0.658731686,0.516609369
1650.18,992.2,739.78,4.784983746,14.368101,0.657895421,0.526654292
1651.32,991.2,747.61,4.782753798,13.84055789,0.656986079,0.53041097
1652.4,991.4,778.97,4.780925175,12.06691438,0.656721456,0.54639973
